"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"Rain Man " "1988" "/film/Rain+Man-1988-1008" 159370 "7,90" "Dramat  /  Komedia" "  Barry Levinson " "USA" "2 godz. 13 min."
"Monty Python i Œwiêty Graal " "1975" "/film/Monty+Python+i+%C5%9Awi%C4%99ty+Graal-1975-1096" 160548 "7,88" "Komedia  /  Kostiumowy  /  Przygodowy" "  Terry Gilliam   /    Terry Jones " "Wielka Brytania" "1 godz. 31 min."
"Adwokat diab³a " "1997" "/film/Adwokat+diab%C5%82a-1997-2" 410355 "7,88" "Thriller" "  Taylor Hackford " "Niemcy  /  USA" "2 godz. 24 min."
"Ojciec chrzestny III " "1990" "/film/Ojciec+chrzestny+III-1990-1091" 171284 "7,88" "Dramat  /  Gangsterski" "  Francis Ford Coppola " "USA" "2 godz. 42 min."
"Interstellar " "2014" "/film/Interstellar-2014-375629" 349699 "7,88" "Sci-Fi" "  Christopher Nolan " "USA  /  Wielka Brytania" "2 godz. 49 min."
"Wœciek³e psy " "1992" "/film/W%C5%9Bciek%C5%82e+psy-1992-11843" 207307 "7,88" "Thriller  /  Gangsterski" "  Quentin Tarantino " "USA" "1 godz. 39 min."
"Contratiempo " "2016" "/film/Contratiempo-2016-754287" 113867 "7,87" "Krymina³" "  Oriol Paulo " "Hiszpania" "1 godz. 46 min."
"Full Metal Jacket " "1987" "/film/Full+Metal+Jacket-1987-8625" 152134 "7,87" "Dramat  /  Wojenny" "  Stanley Kubrick " "USA  /  Wielka Brytania" "1 godz. 56 min."
"Najlepszy " "2017" "/film/Najlepszy-2017-772700" 91116 "7,87" "Biograficzny  /  Obyczajowy  /  Sportowy" "  £ukasz Palkowski " "Polska" "1 godz. 50 min."
"Gwiezdne wojny: Czêœæ IV - Nowa nadzieja " "1977" "/film/Gwiezdne+wojny%3A+Cz%C4%99%C5%9B%C4%87+IV+-+Nowa+nadzieja-1977-759" 311862 "7,87" "Przygodowy  /  Sci-Fi" "  George Lucas " "USA" "2 godz. 1 min."
"Zwierzogród " "2016" "/film/Zwierzogr%C3%B3d-2016-703836" 240965 "7,86" "Animacja  /  Komedia  /  Przygodowy" "  Byron Howard   /    Rich Moore " "USA" "1 godz. 48 min."
"Trzy billboardy za Ebbing, Missouri " "2017" "/film/Trzy+billboardy+za+Ebbing%2C+Missouri-2017-767406" 193322 "7,86" "Dramat  /  Komedia  /  Krymina³" "  Martin McDonagh " "USA  /  Wielka Brytania" "1 godz. 55 min."
"Cinema Paradiso " "1988" "/film/Cinema+Paradiso-1988-8228" 69117 "7,86" "Dramat" "  Giuseppe Tornatore " "Francja  /  W³ochy" "2 godz. 3 min."
"Mechaniczna pomarañcza " "1971" "/film/Mechaniczna+pomara%C5%84cza-1971-1275" 201944 "7,84" "Dramat  /  Sci-Fi" "  Stanley Kubrick " "USA  /  Wielka Brytania" "2 godz. 16 min."
"Wróg u bram " "2001" "/film/Wr%C3%B3g+u+bram-2001-5421" 221814 "7,84" "Dramat  /  Wojenny" "  Jean-Jacques Annaud " "Irlandia  /  Niemcy  /  USA  /  Wielka Brytania" "2 godz. 11 min."
"Pan od muzyki " "2004" "/film/Pan+od+muzyki-2004-119514" 102884 "7,83" "Dramat  /  Muzyczny" "  Christophe Barratier " "Francja  /  Niemcy  /  Szwajcaria" "1 godz. 36 min."
"Spider-Man Uniwersum " "2018" "/film/Spider-Man+Uniwersum-2018-743233" 61153 "7,83" "Animacja  /  Familijny  /  Akcja" "  Bob Persichetti   /    Peter Ramsey   / wiêcej..." "USA" "1 godz. 57 min."
"Przerwana lekcja muzyki " "1999" "/film/Przerwana+lekcja+muzyki-1999-882" 226109 "7,83" "Biograficzny  /  Dramat  /  Psychologiczny" "  James Mangold " "Niemcy  /  USA" "2 godz. 7 min."
"¯¹d³o " "1973" "/film/%C5%BB%C4%85d%C5%82o-1973-12137" 68746 "7,83" "Komedia kryminalna" "  George Roy Hill " "USA" "2 godz. 9 min."
"Z³ap mnie, jeœli potrafisz " "2002" "/film/Z%C5%82ap+mnie%2C+je%C5%9Bli+potrafisz-2002-32362" 308858 "7,83" "Komedia kryminalna" "  Steven Spielberg " "Kanada  /  USA" "2 godz. 21 min."
"Wszystko za ¿ycie " "2007" "/film/Wszystko+za+%C5%BCycie-2007-297829" 248677 "7,82" "Biograficzny  /  Dramat  /  Przygodowy" "  Sean Penn " "USA" "2 godz. 28 min."
"Koneser " "2013" "/film/Koneser-2013-624525" 145391 "7,82" "Dramat" "  Giuseppe Tornatore " "W³ochy" "2 godz. 11 min."
"Labirynt " "2013" "/film/Labirynt-2013-507169" 238387 "7,82" "Thriller" "  Denis Villeneuve " "USA" "2 godz. 33 min."
